,pos,left,right,up,down
34,"(7, 7)",,,"(7, 6)","(7, 8)"
35,"(7, 8)","(6, 8)","(8, 8)","(7, 7)","(7, 9)"
36,"(7, 9)",,,"(7, 8)","(7, 10)"
37,"(7, 10)",,"(8, 10)","(7, 9)",
38,"(8, 2)","(7, 2)","(9, 2)",,
39,"(8, 4)","(7, 4)","(9, 4)",,
40,"(8, 8)","(7, 8)","(9, 8)",,
41,"(8, 10)","(7, 10)","(9, 10)",,
42,"(9, 2)","(8, 2)","(10, 2)",,
43,"(9, 4)","(8, 4)","(10, 4)",,
44,"(9, 6)",,"(10, 6)",,
45,"(9, 8)","(8, 8)","(10, 8)",,
46,"(9, 10)","(8, 10)","(10, 10)",,
47,"(10, 2)","(9, 2)","(11, 2)",,
48,"(10, 4)","(9, 4)","(11, 4)",,"(10, 5)"
49,"(10, 5)",,"(11, 5)","(10, 4)","(10, 6)"
50,"(10, 6)","(9, 6)","(11, 6)","(10, 5)",
51,"(10, 8)","(9, 8)","(11, 8)",,
52,"(10, 10)","(9, 10)","(11, 10)",,
53,"(11, 2)","(10, 2)","(12, 2)",,
54,"(11, 4)","(10, 4)","(12, 4)",,"(11, 5)"
55,"(11, 5)","(10, 5)",,"(11, 4)","(11, 6)"
56,"(11, 6)","(10, 6)","(12, 6)","(11, 5)",
57,"(11, 8)","(10, 8)","(12, 8)",,
58,"(11, 10)","(10, 10)","(12, 10)",,
59,"(12, 2)","(11, 2)","(13, 2)",,
60,"(12, 4)","(11, 4)","(13, 4)",,
61,"(12, 6)","(11, 6)",,,
62,"(12, 8)","(11, 8)","(13, 8)",,
63,"(12, 10)","(11, 10)","(13, 10)",,
64,"(13, 2)","(12, 2)","(14, 2)",,
65,"(13, 4)","(12, 4)","(14, 4)",,
66,"(13, 8)","(12, 8)","(14, 8)",,
67,"(13, 10)","(12, 10)","(14, 10)",,
68,"(14, 2)","(13, 2)",,,"(14, 3)"
69,"(14, 3)",,,"(14, 2)","(14, 4)"
70,"(14, 4)","(13, 4)","(15, 4)","(14, 3)","(14, 5)"
71,"(14, 5)",,,"(14, 4)","(14, 6)"
72,"(14, 6)",,"(15, 6)","(14, 5)","(14, 7)"
73,"(14, 7)",,,"(14, 6)","(14, 8)"
74,"(14, 8)","(13, 8)","(15, 8)","(14, 7)","(14, 9)"
75,"(14, 9)",,,"(14, 8)","(14, 10)"
76,"(14, 10)","(13, 10)",,"(14, 9)",
77,"(15, 4)","(14, 4)","(16, 4)",,
78,"(15, 6)","(14, 6)","(16, 6)",,
79,"(15, 8)","(14, 8)","(16, 8)",,
80,"(16, 2)",,"(17, 2)",,"(16, 3)"
81,"(16, 3)",,,"(16, 2)","(16, 4)"
82,"(16, 4)","(15, 4)","(17, 4)","(16, 3)",
83,"(16, 6)","(15, 6)","(17, 6)",,
84,"(16, 8)","(15, 8)","(17, 8)",,"(16, 9)"
85,"(16, 9)",,,"(16, 8)","(16, 10)"
86,"(16, 10)",,"(17, 10)","(16, 9)",
87,"(17, 2)","(16, 2)","(18, 2)",,
88,"(17, 4)","(16, 4)",,,"(17, 5)"
89,"(17, 5)",,,"(17, 4)","(17, 6)"
90,"(17, 6)","(16, 6)","(18, 6)","(17, 5)","(17, 7)"
91,"(17, 7)",,,"(17, 6)","(17, 8)"
92,"(17, 8)","(16, 8)",,"(17, 7)",
93,"(17, 10)","(16, 10)","(18, 10)",,
94,"(18, 2)","(17, 2)","(19, 2)",,
95,"(18, 6)","(17, 6)","(19, 6)",,
96,"(18, 10)","(17, 10)","(19, 10)",,
97,"(19, 2)","(18, 2)",,,"(19, 3)"
98,"(19, 3)",,,"(19, 2)","(19, 4)"
99,"(19, 4)",,,"(19, 3)","(19, 5)"
100,"(19, 5)",,,"(19, 4)","(19, 6)"
101,"(19, 6)","(18, 6)",,"(19, 5)","(19, 7)"
102,"(19, 7)",,,"(19, 6)","(19, 8)"
103,"(19, 8)",,,"(19, 7)","(19, 9)"
104,"(19, 9)",,,"(19, 8)","(19, 10)"
105,"(19, 10)","(18, 10)",,"(19, 9)",
