,pos,left,right,up,down
32,"(7, 2)",,"(8, 2)",,"(7, 3)"
33,"(7, 3)",,,"(7, 2)","(7, 4)"
34,"(7, 4)","(6, 4)","(8, 4)","(7, 3)","(7, 5)"
35,"(7, 5)",,,"(7, 4)","(7, 6)"
36,"(7, 6)","(6, 6)",,"(7, 5)",
37,"(7, 8)","(6, 8)","(8, 8)",,"(7, 9)"
38,"(7, 9)","(6, 9)","(8, 9)","(7, 8)","(7, 10)"
39,"(7, 10)","(6, 10)","(8, 10)","(7, 9)",
40,"(8, 2)","(7, 2)","(9, 2)",,
41,"(8, 4)","(7, 4)","(9, 4)",,
42,"(8, 8)","(7, 8)","(9, 8)",,"(8, 9)"
43,"(8, 9)","(7, 9)","(9, 9)","(8, 8)","(8, 10)"
44,"(8, 10)","(7, 10)","(9, 10)","(8, 9)",
45,"(9, 2)","(8, 2)","(10, 2)",,
46,"(9, 4)","(8, 4)","(10, 4)",,
47,"(9, 6)",,"(10, 6)",,
48,"(9, 8)","(8, 8)","(10, 8)",,"(9, 9)"
49,"(9, 9)","(8, 9)","(10, 9)","(9, 8)","(9, 10)"
50,"(9, 10)","(8, 10)","(10, 10)","(9, 9)",
51,"(10, 2)","(9, 2)","(11, 2)",,
52,"(10, 4)","(9, 4)","(11, 4)",,"(10, 5)"
53,"(10, 5)",,"(11, 5)","(10, 4)","(10, 6)"
54,"(10, 6)","(9, 6)","(11, 6)","(10, 5)",
55,"(10, 8)","(9, 8)","(11, 8)",,"(10, 9)"
56,"(10, 9)","(9, 9)","(11, 9)","(10, 8)","(10, 10)"
57,"(10, 10)","(9, 10)","(11, 10)","(10, 9)",
58,"(11, 2)","(10, 2)","(12, 2)",,
59,"(11, 4)","(10, 4)","(12, 4)",,"(11, 5)"
60,"(11, 5)","(10, 5)",,"(11, 4)","(11, 6)"
61,"(11, 6)","(10, 6)","(12, 6)","(11, 5)",
62,"(11, 8)","(10, 8)","(12, 8)",,"(11, 9)"
63,"(11, 9)","(10, 9)","(12, 9)","(11, 8)","(11, 10)"
64,"(11, 10)","(10, 10)","(12, 10)","(11, 9)",
65,"(12, 2)","(11, 2)","(13, 2)",,
66,"(12, 4)","(11, 4)","(13, 4)",,
67,"(12, 6)","(11, 6)",,,
68,"(12, 8)","(11, 8)","(13, 8)",,"(12, 9)"
69,"(12, 9)","(11, 9)","(13, 9)","(12, 8)","(12, 10)"
70,"(12, 10)","(11, 10)","(13, 10)","(12, 9)",
71,"(13, 2)","(12, 2)","(14, 2)",,
72,"(13, 4)","(12, 4)","(14, 4)",,
73,"(13, 8)","(12, 8)","(14, 8)",,"(13, 9)"
74,"(13, 9)","(12, 9)","(14, 9)","(13, 8)","(13, 10)"
75,"(13, 10)","(12, 10)","(14, 10)","(13, 9)",
76,"(14, 2)","(13, 2)",,,"(14, 3)"
77,"(14, 3)",,,"(14, 2)","(14, 4)"
78,"(14, 4)","(13, 4)","(15, 4)","(14, 3)","(14, 5)"
79,"(14, 5)",,,"(14, 4)","(14, 6)"
80,"(14, 6)",,"(15, 6)","(14, 5)",
81,"(14, 8)","(13, 8)","(15, 8)",,"(14, 9)"
82,"(14, 9)","(13, 9)","(15, 9)","(14, 8)","(14, 10)"
83,"(14, 10)","(13, 10)","(15, 10)","(14, 9)",
84,"(15, 4)","(14, 4)","(16, 4)",,
85,"(15, 6)","(14, 6)","(16, 6)",,
86,"(15, 8)","(14, 8)","(16, 8)",,"(15, 9)"
87,"(15, 9)","(14, 9)","(16, 9)","(15, 8)","(15, 10)"
88,"(15, 10)","(14, 10)","(16, 10)","(15, 9)",
89,"(16, 2)",,"(17, 2)",,"(16, 3)"
90,"(16, 3)",,,"(16, 2)","(16, 4)"
91,"(16, 4)","(15, 4)","(17, 4)","(16, 3)",
92,"(16, 6)","(15, 6)","(17, 6)",,
93,"(16, 8)","(15, 8)","(17, 8)",,"(16, 9)"
94,"(16, 9)","(15, 9)","(17, 9)","(16, 8)","(16, 10)"
95,"(16, 10)","(15, 10)","(17, 10)","(16, 9)",
96,"(17, 2)","(16, 2)","(18, 2)",,
97,"(17, 4)","(16, 4)",,,"(17, 5)"
98,"(17, 5)",,"(18, 5)","(17, 4)","(17, 6)"
99,"(17, 6)","(16, 6)","(18, 6)","(17, 5)","(17, 7)"
100,"(17, 7)",,,"(17, 6)","(17, 8)"
101,"(17, 8)","(16, 8)","(18, 8)","(17, 7)","(17, 9)"
102,"(17, 9)","(16, 9)","(18, 9)","(17, 8)","(17, 10)"
103,"(17, 10)","(16, 10)","(18, 10)","(17, 9)",
104,"(18, 2)","(17, 2)","(19, 2)",,
105,"(18, 5)","(17, 5)",,,"(18, 6)"
106,"(18, 6)","(17, 6)","(19, 6)","(18, 5)",
107,"(18, 8)","(17, 8)","(19, 8)",,"(18, 9)"
108,"(18, 9)","(17, 9)","(19, 9)","(18, 8)","(18, 10)"
109,"(18, 10)","(17, 10)","(19, 10)","(18, 9)",
110,"(19, 2)","(18, 2)",,,"(19, 3)"
111,"(19, 3)",,,"(19, 2)","(19, 4)"
112,"(19, 4)",,,"(19, 3)",
113,"(19, 6)","(18, 6)",,,
114,"(19, 8)","(18, 8)",,,"(19, 9)"
115,"(19, 9)","(18, 9)",,"(19, 8)","(19, 10)"
116,"(19, 10)","(18, 10)",,"(19, 9)",
