,pos,left,right,up,down
61,"(7, 14)","(6, 14)","(8, 14)","(7, 13)","(7, 15)"
62,"(7, 15)",,,"(7, 14)","(7, 16)"
63,"(7, 16)",,,"(7, 15)","(7, 17)"
64,"(7, 17)",,,"(7, 16)","(7, 18)"
65,"(7, 18)","(6, 18)","(8, 18)","(7, 17)","(7, 19)"
66,"(7, 19)",,,"(7, 18)","(7, 20)"
67,"(7, 20)",,,"(7, 19)","(7, 21)"
68,"(7, 21)",,"(8, 21)","(7, 20)","(7, 22)"
69,"(7, 22)",,,"(7, 21)","(7, 23)"
70,"(7, 23)",,,"(7, 22)","(7, 24)"
71,"(7, 24)","(6, 24)","(8, 24)","(7, 23)",
72,"(7, 26)","(6, 26)","(8, 26)",,
73,"(8, 2)","(7, 2)","(9, 2)",,
74,"(8, 6)","(7, 6)","(9, 6)",,
75,"(8, 14)","(7, 14)","(9, 14)",,
76,"(8, 18)","(7, 18)","(9, 18)",,
77,"(8, 21)","(7, 21)","(9, 21)",,
78,"(8, 24)","(7, 24)",,,
79,"(8, 26)","(7, 26)","(9, 26)",,
80,"(9, 2)","(8, 2)","(10, 2)",,
81,"(9, 6)","(8, 6)","(10, 6)",,
82,"(9, 12)",,"(10, 12)",,"(9, 13)"
83,"(9, 13)",,,"(9, 12)","(9, 14)"
84,"(9, 14)","(8, 14)",,"(9, 13)","(9, 15)"
85,"(9, 15)",,,"(9, 14)","(9, 16)"
86,"(9, 16)",,"(10, 16)","(9, 15)","(9, 17)"
87,"(9, 17)",,,"(9, 16)","(9, 18)"
88,"(9, 18)","(8, 18)","(10, 18)","(9, 17)",
89,"(9, 21)","(8, 21)","(10, 21)",,
90,"(9, 26)","(8, 26)","(10, 26)",,
91,"(10, 2)","(9, 2)","(11, 2)",,
92,"(10, 6)","(9, 6)","(11, 6)",,"(10, 7)"
93,"(10, 7)",,,"(10, 6)","(10, 8)"
94,"(10, 8)",,,"(10, 7)","(10, 9)"
95,"(10, 9)",,"(11, 9)","(10, 8)",
96,"(10, 12)","(9, 12)","(11, 12)",,
97,"(10, 16)","(9, 16)","(11, 16)",,
98,"(10, 18)","(9, 18)","(11, 18)",,
99,"(10, 21)","(9, 21)","(11, 21)",,"(10, 22)"
100,"(10, 22)",,,"(10, 21)","(10, 23)"
101,"(10, 23)",,,"(10, 22)",
102,"(10, 26)","(9, 26)","(11, 26)",,
103,"(11, 2)","(10, 2)","(12, 2)",,
104,"(11, 6)","(10, 6)","(12, 6)",,
105,"(11, 9)","(10, 9)","(12, 9)",,
106,"(11, 12)","(10, 12)","(12, 12)",,
107,"(11, 14)",,"(12, 14)",,
108,"(11, 16)","(10, 16)","(12, 16)",,
109,"(11, 18)","(10, 18)","(12, 18)",,
110,"(11, 21)","(10, 21)","(12, 21)",,
111,"(11, 24)",,"(12, 24)",,
112,"(11, 26)","(10, 26)","(12, 26)",,
113,"(12, 2)","(11, 2)","(13, 2)",,
114,"(12, 6)","(11, 6)","(13, 6)",,
115,"(12, 9)","(11, 9)","(13, 9)",,
116,"(12, 12)","(11, 12)","(13, 12)",,
117,"(12, 14)","(11, 14)","(13, 14)",,
118,"(12, 16)","(11, 16)","(13, 16)",,
119,"(12, 18)","(11, 18)","(13, 18)",,
120,"(12, 21)","(11, 21)","(13, 21)",,
121,"(12, 24)","(11, 24)","(13, 24)",,
122,"(12, 26)","(11, 26)","(13, 26)",,
123,"(13, 2)","(12, 2)",,,"(13, 3)"
124,"(13, 3)",,,"(13, 2)","(13, 4)"
125,"(13, 4)",,,"(13, 3)","(13, 5)"
126,"(13, 5)",,,"(13, 4)","(13, 6)"
127,"(13, 6)","(12, 6)","(14, 6)","(13, 5)",
128,"(13, 9)","(12, 9)",,,"(13, 10)"
129,"(13, 10)",,,"(13, 9)","(13, 11)"
130,"(13, 11)",,,"(13, 10)","(13, 12)"
131,"(13, 12)","(12, 12)","(14, 12)","(13, 11)",
132,"(13, 14)","(12, 14)","(14, 14)",,
133,"(13, 16)","(12, 16)","(14, 16)",,
134,"(13, 18)","(12, 18)",,,"(13, 19)"
135,"(13, 19)",,,"(13, 18)","(13, 20)"
136,"(13, 20)",,,"(13, 19)","(13, 21)"
137,"(13, 21)","(12, 21)","(14, 21)","(13, 20)",
138,"(13, 24)","(12, 24)","(14, 24)",,"(13, 25)"
139,"(13, 25)",,,"(13, 24)","(13, 26)"
140,"(13, 26)","(12, 26)","(14, 26)","(13, 25)",
141,"(14, 6)","(13, 6)","(15, 6)",,
142,"(14, 12)","(13, 12)","(15, 12)",,"(14, 13)"
143,"(14, 13)",,"(15, 13)","(14, 12)","(14, 14)"
144,"(14, 14)","(13, 14)","(15, 14)","(14, 13)",
145,"(14, 16)","(13, 16)","(15, 16)",,
146,"(14, 21)","(13, 21)","(15, 21)",,
147,"(14, 24)","(13, 24)",,,
148,"(14, 26)","(13, 26)","(15, 26)",,
149,"(15, 6)","(14, 6)","(16, 6)",,
150,"(15, 12)","(14, 12)","(16, 12)",,"(15, 13)"
151,"(15, 13)","(14, 13)",,"(15, 12)","(15, 14)"
152,"(15, 14)","(14, 14)","(16, 14)","(15, 13)",
153,"(15, 16)","(14, 16)","(16, 16)",,
154,"(15, 21)","(14, 21)","(16, 21)",,
155,"(15, 26)","(14, 26)","(16, 26)",,
156,"(16, 2)",,"(17, 2)",,"(16, 3)"
157,"(16, 3)",,,"(16, 2)","(16, 4)"
158,"(16, 4)",,,"(16, 3)","(16, 5)"
159,"(16, 5)",,,"(16, 4)","(16, 6)"
160,"(16, 6)","(15, 6)","(17, 6)","(16, 5)",
161,"(16, 9)",,"(17, 9)",,"(16, 10)"
162,"(16, 10)",,,"(16, 9)","(16, 11)"
163,"(16, 11)",,,"(16, 10)","(16, 12)"
164,"(16, 12)","(15, 12)","(17, 12)","(16, 11)",
165,"(16, 14)","(15, 14)","(17, 14)",,
166,"(16, 16)","(15, 16)","(17, 16)",,
167,"(16, 18)",,"(17, 18)",,"(16, 19)"
168,"(16, 19)",,,"(16, 18)","(16, 20)"
169,"(16, 20)",,,"(16, 19)","(16, 21)"
170,"(16, 21)","(15, 21)","(17, 21)","(16, 20)",
171,"(16, 25)",,,,"(16, 26)"
172,"(16, 26)","(15, 26)","(17, 26)","(16, 25)",
173,"(17, 2)","(16, 2)","(18, 2)",,
174,"(17, 6)","(16, 6)","(18, 6)",,
175,"(17, 9)","(16, 9)","(18, 9)",,
176,"(17, 12)","(16, 12)","(18, 12)",,
177,"(17, 14)","(16, 14)","(18, 14)",,
178,"(17, 16)","(16, 16)","(18, 16)",,
179,"(17, 18)","(16, 18)","(18, 18)",,
180,"(17, 21)","(16, 21)","(18, 21)",,
181,"(17, 24)",,"(18, 24)",,
182,"(17, 26)","(16, 26)","(18, 26)",,
183,"(18, 2)","(17, 2)","(19, 2)",,
184,"(18, 6)","(17, 6)","(19, 6)",,
185,"(18, 9)","(17, 9)","(19, 9)",,
186,"(18, 12)","(17, 12)","(19, 12)",,
187,"(18, 14)","(17, 14)",,,
188,"(18, 16)","(17, 16)","(19, 16)",,
189,"(18, 18)","(17, 18)","(19, 18)",,
190,"(18, 21)","(17, 21)","(19, 21)",,
191,"(18, 24)","(17, 24)","(19, 24)",,
192,"(18, 26)","(17, 26)","(19, 26)",,
193,"(19, 2)","(18, 2)","(20, 2)",,
194,"(19, 6)","(18, 6)","(20, 6)",,"(19, 7)"
195,"(19, 7)",,,"(19, 6)","(19, 8)"
196,"(19, 8)",,,"(19, 7)","(19, 9)"
197,"(19, 9)","(18, 9)",,"(19, 8)",
198,"(19, 12)","(18, 12)","(20, 12)",,
199,"(19, 16)","(18, 16)","(20, 16)",,
200,"(19, 18)","(18, 18)","(20, 18)",,
201,"(19, 21)","(18, 21)","(20, 21)",,"(19, 22)"
202,"(19, 22)",,,"(19, 21)","(19, 23)"
203,"(19, 23)",,,"(19, 22)","(19, 24)"
204,"(19, 24)","(18, 24)",,"(19, 23)",
205,"(19, 26)","(18, 26)","(20, 26)",,
206,"(20, 2)","(19, 2)","(21, 2)",,
207,"(20, 6)","(19, 6)","(21, 6)",,
208,"(20, 12)","(19, 12)",,,"(20, 13)"
209,"(20, 13)",,,"(20, 12)","(20, 14)"
210,"(20, 14)",,"(21, 14)","(20, 13)","(20, 15)"
211,"(20, 15)",,,"(20, 14)","(20, 16)"
212,"(20, 16)","(19, 16)",,"(20, 15)","(20, 17)"
213,"(20, 17)",,,"(20, 16)","(20, 18)"
214,"(20, 18)","(19, 18)","(21, 18)","(20, 17)",
215,"(20, 21)","(19, 21)","(21, 21)",,
216,"(20, 26)","(19, 26)","(21, 26)",,
217,"(21, 2)","(20, 2)","(22, 2)",,
218,"(21, 6)","(20, 6)","(22, 6)",,
219,"(21, 14)","(20, 14)","(22, 14)",,
220,"(21, 18)","(20, 18)","(22, 18)",,
221,"(21, 21)","(20, 21)","(22, 21)",,
222,"(21, 26)","(20, 26)","(22, 26)",,
223,"(22, 2)","(21, 2)","(23, 2)",,"(22, 3)"
224,"(22, 3)",,,"(22, 2)","(22, 4)"
225,"(22, 4)",,,"(22, 3)","(22, 5)"
226,"(22, 5)",,,"(22, 4)","(22, 6)"
227,"(22, 6)","(21, 6)","(23, 6)","(22, 5)","(22, 7)"
228,"(22, 7)",,,"(22, 6)","(22, 8)"
229,"(22, 8)",,,"(22, 7)","(22, 9)"
230,"(22, 9)",,"(23, 9)","(22, 8)","(22, 10)"
231,"(22, 10)",,,"(22, 9)","(22, 11)"
232,"(22, 11)",,,"(22, 10)","(22, 12)"
233,"(22, 12)",,,"(22, 11)","(22, 13)"
234,"(22, 13)",,,"(22, 12)","(22, 14)"
235,"(22, 14)","(21, 14)","(23, 14)","(22, 13)","(22, 15)"
236,"(22, 15)",,,"(22, 14)","(22, 16)"
237,"(22, 16)",,,"(22, 15)","(22, 17)"
238,"(22, 17)",,,"(22, 16)","(22, 18)"
239,"(22, 18)","(21, 18)","(23, 18)","(22, 17)","(22, 19)"
240,"(22, 19)",,,"(22, 18)","(22, 20)"
241,"(22, 20)",,,"(22, 19)","(22, 21)"
242,"(22, 21)","(21, 21)",,"(22, 20)","(22, 22)"
243,"(22, 22)",,,"(22, 21)","(22, 23)"
244,"(22, 23)",,,"(22, 22)","(22, 24)"
245,"(22, 24)",,"(23, 24)","(22, 23)",
246,"(22, 26)","(21, 26)","(23, 26)",,
247,"(23, 2)","(22, 2)","(24, 2)",,
248,"(23, 6)","(22, 6)","(24, 6)",,
249,"(23, 9)","(22, 9)","(24, 9)",,
250,"(23, 14)","(22, 14)","(24, 14)",,
251,"(23, 18)","(22, 18)","(24, 18)",,
252,"(23, 24)","(22, 24)","(24, 24)",,
253,"(23, 26)","(22, 26)","(24, 26)",,
254,"(24, 2)","(23, 2)","(25, 2)",,
255,"(24, 6)","(23, 6)","(25, 6)",,
256,"(24, 9)","(23, 9)","(25, 9)",,
257,"(24, 14)","(23, 14)","(25, 14)",,
258,"(24, 18)","(23, 18)","(25, 18)",,
259,"(24, 24)","(23, 24)","(25, 24)",,
260,"(24, 26)","(23, 26)","(25, 26)",,
261,"(25, 2)","(24, 2)","(26, 2)",,
262,"(25, 6)","(24, 6)","(26, 6)",,
263,"(25, 9)","(24, 9)","(26, 9)",,
264,"(25, 14)","(24, 14)","(26, 14)",,
265,"(25, 18)","(24, 18)","(26, 18)",,
266,"(25, 21)",,"(26, 21)",,"(25, 22)"
267,"(25, 22)",,,"(25, 21)","(25, 23)"
268,"(25, 23)",,,"(25, 22)","(25, 24)"
269,"(25, 24)","(24, 24)","(26, 24)","(25, 23)",
270,"(25, 26)","(24, 26)","(26, 26)",,
271,"(26, 2)","(25, 2)","(27, 2)",,
272,"(26, 6)","(25, 6)","(27, 6)",,
273,"(26, 9)","(25, 9)","(27, 9)",,
274,"(26, 14)","(25, 14)","(27, 14)",,
275,"(26, 18)","(25, 18)","(27, 18)",,
276,"(26, 21)","(25, 21)","(27, 21)",,
277,"(26, 24)","(25, 24)","(27, 24)",,
278,"(26, 26)","(25, 26)","(27, 26)",,
279,"(27, 2)","(26, 2)",,,"(27, 3)"
280,"(27, 3)",,,"(27, 2)","(27, 4)"
281,"(27, 4)",,,"(27, 3)","(27, 5)"
282,"(27, 5)",,,"(27, 4)","(27, 6)"
283,"(27, 6)","(26, 6)",,"(27, 5)","(27, 7)"
284,"(27, 7)",,,"(27, 6)","(27, 8)"
285,"(27, 8)",,,"(27, 7)","(27, 9)"
286,"(27, 9)","(26, 9)",,"(27, 8)",
287,"(27, 14)","(26, 14)","(28, 14)",,
288,"(27, 18)","(26, 18)",,,"(27, 19)"
289,"(27, 19)",,,"(27, 18)","(27, 20)"
290,"(27, 20)",,,"(27, 19)","(27, 21)"
291,"(27, 21)","(26, 21)",,"(27, 20)",
292,"(27, 24)","(26, 24)",,,"(27, 25)"
293,"(27, 25)",,,"(27, 24)","(27, 26)"
294,"(27, 26)","(26, 26)",,"(27, 25)",
295,"(28, 14)","(27, 14)","(1, 14)",,
