,pos,left,right,up,down
34,"(7, 6)","(6, 6)",,"(7, 5)","(7, 7)"
35,"(7, 7)",,,"(7, 6)","(7, 8)"
36,"(7, 8)","(6, 8)","(8, 8)","(7, 7)","(7, 9)"
37,"(7, 9)","(6, 9)","(8, 9)","(7, 8)","(7, 10)"
38,"(7, 10)",,"(8, 10)","(7, 9)",
39,"(8, 2)","(7, 2)","(9, 2)",,
40,"(8, 4)","(7, 4)","(9, 4)",,
41,"(8, 8)","(7, 8)","(9, 8)",,"(8, 9)"
42,"(8, 9)","(7, 9)","(9, 9)","(8, 8)","(8, 10)"
43,"(8, 10)","(7, 10)","(9, 10)","(8, 9)",
44,"(9, 2)","(8, 2)","(10, 2)",,
45,"(9, 4)","(8, 4)","(10, 4)",,
46,"(9, 6)",,"(10, 6)",,
47,"(9, 8)","(8, 8)","(10, 8)",,"(9, 9)"
48,"(9, 9)","(8, 9)","(10, 9)","(9, 8)","(9, 10)"
49,"(9, 10)","(8, 10)","(10, 10)","(9, 9)",
50,"(10, 2)","(9, 2)","(11, 2)",,
51,"(10, 4)","(9, 4)","(11, 4)",,"(10, 5)"
52,"(10, 5)",,"(11, 5)","(10, 4)","(10, 6)"
53,"(10, 6)","(9, 6)","(11, 6)","(10, 5)",
54,"(10, 8)","(9, 8)","(11, 8)",,"(10, 9)"
55,"(10, 9)","(9, 9)","(11, 9)","(10, 8)","(10, 10)"
56,"(10, 10)","(9, 10)","(11, 10)","(10, 9)",
57,"(11, 2)","(10, 2)","(12, 2)",,
58,"(11, 4)","(10, 4)","(12, 4)",,"(11, 5)"
59,"(11, 5)","(10, 5)",,"(11, 4)","(11, 6)"
60,"(11, 6)","(10, 6)","(12, 6)","(11, 5)",
61,"(11, 8)","(10, 8)","(12, 8)",,"(11, 9)"
62,"(11, 9)","(10, 9)","(12, 9)","(11, 8)","(11, 10)"
63,"(11, 10)","(10, 10)","(12, 10)","(11, 9)",
64,"(12, 2)","(11, 2)","(13, 2)",,
65,"(12, 4)","(11, 4)","(13, 4)",,
66,"(12, 6)","(11, 6)",,,
67,"(12, 8)","(11, 8)","(13, 8)",,"(12, 9)"
68,"(12, 9)","(11, 9)","(13, 9)","(12, 8)","(12, 10)"
69,"(12, 10)","(11, 10)","(13, 10)","(12, 9)",
70,"(13, 2)","(12, 2)","(14, 2)",,
71,"(13, 4)","(12, 4)","(14, 4)",,
72,"(13, 8)","(12, 8)","(14, 8)",,"(13, 9)"
73,"(13, 9)","(12, 9)","(14, 9)","(13, 8)","(13, 10)"
74,"(13, 10)","(12, 10)","(14, 10)","(13, 9)",
75,"(14, 2)","(13, 2)",,,"(14, 3)"
76,"(14, 3)",,,"(14, 2)","(14, 4)"
77,"(14, 4)","(13, 4)","(15, 4)","(14, 3)","(14, 5)"
78,"(14, 5)",,,"(14, 4)","(14, 6)"
79,"(14, 6)",,"(15, 6)","(14, 5)","(14, 7)"
80,"(14, 7)",,,"(14, 6)","(14, 8)"
81,"(14, 8)","(13, 8)","(15, 8)","(14, 7)","(14, 9)"
82,"(14, 9)","(13, 9)",,"(14, 8)","(14, 10)"
83,"(14, 10)","(13, 10)",,"(14, 9)",
84,"(15, 4)","(14, 4)","(16, 4)",,
85,"(15, 6)","(14, 6)","(16, 6)",,
86,"(15, 8)","(14, 8)","(16, 8)",,
87,"(16, 2)",,"(17, 2)",,"(16, 3)"
88,"(16, 3)",,,"(16, 2)","(16, 4)"
89,"(16, 4)","(15, 4)","(17, 4)","(16, 3)",
90,"(16, 6)","(15, 6)","(17, 6)",,
91,"(16, 8)","(15, 8)","(17, 8)",,"(16, 9)"
92,"(16, 9)",,,"(16, 8)","(16, 10)"
93,"(16, 10)",,"(17, 10)","(16, 9)",
94,"(17, 2)","(16, 2)","(18, 2)",,
95,"(17, 4)","(16, 4)",,,"(17, 5)"
96,"(17, 5)",,"(18, 5)","(17, 4)","(17, 6)"
97,"(17, 6)","(16, 6)","(18, 6)","(17, 5)","(17, 7)"
98,"(17, 7)",,,"(17, 6)","(17, 8)"
99,"(17, 8)","(16, 8)",,"(17, 7)",
100,"(17, 10)","(16, 10)","(18, 10)",,
101,"(18, 2)","(17, 2)","(19, 2)",,
102,"(18, 5)","(17, 5)",,,"(18, 6)"
103,"(18, 6)","(17, 6)","(19, 6)","(18, 5)",
104,"(18, 10)","(17, 10)","(19, 10)",,
105,"(19, 2)","(18, 2)",,,"(19, 3)"
106,"(19, 3)",,,"(19, 2)","(19, 4)"
107,"(19, 4)",,,"(19, 3)",
108,"(19, 6)","(18, 6)",,,"(19, 7)"
109,"(19, 7)",,,"(19, 6)","(19, 8)"
110,"(19, 8)",,,"(19, 7)","(19, 9)"
111,"(19, 9)",,,"(19, 8)","(19, 10)"
112,"(19, 10)","(18, 10)",,"(19, 9)",
