,pos,left,right,up,down
79,"(27, 11)",,,"(27, 10)","(27, 12)"
80,"(2, 12)",,"(3, 12)","(2, 11)",
81,"(3, 12)","(2, 12)","(4, 12)",,
82,"(4, 12)","(3, 12)","(5, 12)",,
83,"(5, 12)","(4, 12)","(6, 12)",,
84,"(6, 12)","(5, 12)","(7, 12)",,
85,"(7, 12)","(6, 12)",,"(7, 11)","(7, 13)"
86,"(10, 12)",,"(11, 12)","(10, 11)",
87,"(11, 12)","(10, 12)","(12, 12)",,
88,"(12, 12)","(11, 12)","(13, 12)",,
89,"(13, 12)","(12, 12)",,,"(13, 13)"
90,"(16, 12)",,"(17, 12)",,"(16, 13)"
91,"(17, 12)","(16, 12)","(18, 12)",,
92,"(18, 12)","(17, 12)","(19, 12)",,
93,"(19, 12)","(18, 12)",,"(19, 11)",
94,"(22, 12)",,"(23, 12)","(22, 11)","(22, 13)"
95,"(23, 12)","(22, 12)","(24, 12)",,
96,"(24, 12)","(23, 12)","(25, 12)",,
97,"(25, 12)","(24, 12)","(26, 12)",,
98,"(26, 12)","(25, 12)","(27, 12)",,
99,"(27, 12)","(26, 12)",,"(27, 11)",
100,"(7, 13)",,,"(7, 12)","(7, 14)"
101,"(13, 13)",,,"(13, 12)","(13, 14)"
102,"(16, 13)",,,"(16, 12)","(16, 14)"
103,"(22, 13)",,,"(22, 12)","(22, 14)"
104,"(7, 14)",,,"(7, 13)","(7, 15)"
105,"(13, 14)",,,"(13, 13)","(13, 15)"
106,"(16, 14)",,,"(16, 13)","(16, 15)"
107,"(22, 14)",,,"(22, 13)","(22, 15)"
108,"(7, 15)",,,"(7, 14)","(7, 16)"
109,"(10, 15)",,"(11, 15)",,"(10, 16)"
110,"(11, 15)","(10, 15)","(12, 15)",,
111,"(12, 15)","(11, 15)","(13, 15)",,
112,"(13, 15)","(12, 15)","(14, 15)","(13, 14)",
113,"(14, 15)","(13, 15)","(15, 15)",,
114,"(15, 15)","(14, 15)","(16, 15)",,
115,"(16, 15)","(15, 15)","(17, 15)","(16, 14)",
116,"(17, 15)","(16, 15)","(18, 15)",,
117,"(18, 15)","(17, 15)","(19, 15)",,
118,"(19, 15)","(18, 15)",,,"(19, 16)"
119,"(22, 15)",,,"(22, 14)","(22, 16)"
120,"(7, 16)",,,"(7, 15)","(7, 17)"
121,"(10, 16)",,,"(10, 15)","(10, 17)"
122,"(19, 16)",,,"(19, 15)","(19, 17)"
123,"(22, 16)",,,"(22, 15)","(22, 17)"
124,"(7, 17)",,,"(7, 16)","(7, 18)"
125,"(10, 17)",,,"(10, 16)","(10, 18)"
126,"(12, 17)",,"(13, 17)",,"(12, 18)"
127,"(13, 17)","(12, 17)","(14, 17)",,"(13, 18)"
128,"(14, 17)","(13, 17)","(15, 17)",,"(14, 18)"
129,"(15, 17)","(14, 17)","(16, 17)",,"(15, 18)"
130,"(16, 17)","(15, 17)","(17, 17)",,"(16, 18)"
131,"(17, 17)","(16, 17)",,,"(17, 18)"
132,"(19, 17)",,,"(19, 16)","(19, 18)"
133,"(22, 17)",,,"(22, 16)","(22, 18)"
134,"(2, 18)","(1, 18)","(3, 18)",,
135,"(3, 18)","(2, 18)","(4, 18)",,
136,"(4, 18)","(3, 18)","(5, 18)",,
137,"(5, 18)","(4, 18)","(6, 18)",,
138,"(6, 18)","(5, 18)","(7, 18)",,
139,"(7, 18)","(6, 18)","(8, 18)","(7, 17)","(7, 19)"
140,"(8, 18)","(7, 18)","(9, 18)",,
141,"(9, 18)","(8, 18)","(10, 18)",,
142,"(10, 18)","(9, 18)",,"(10, 17)","(10, 19)"
143,"(12, 18)",,"(13, 18)","(12, 17)","(12, 19)"
144,"(13, 18)","(12, 18)","(14, 18)","(13, 17)","(13, 19)"
145,"(14, 18)","(13, 18)","(15, 18)","(14, 17)","(14, 19)"
146,"(15, 18)","(14, 18)","(16, 18)","(15, 17)","(15, 19)"
147,"(16, 18)","(15, 18)","(17, 18)","(16, 17)","(16, 19)"
148,"(17, 18)","(16, 18)",,"(17, 17)","(17, 19)"
149,"(19, 18)",,"(20, 18)","(19, 17)","(19, 19)"
150,"(20, 18)","(19, 18)","(21, 18)",,
151,"(21, 18)","(20, 18)","(22, 18)",,
152,"(22, 18)","(21, 18)","(23, 18)","(22, 17)","(22, 19)"
153,"(23, 18)","(22, 18)","(24, 18)",,
154,"(24, 18)","(23, 18)","(25, 18)",,
155,"(25, 18)","(24, 18)","(26, 18)",,
156,"(26, 18)","(25, 18)","(27, 18)",,
157,"(27, 18)","(26, 18)","(28, 18)",,
158,"(7, 19)",,,"(7, 18)","(7, 20)"
159,"(10, 19)",,,"(10, 18)","(10, 20)"
160,"(12, 19)",,"(13, 19)","(12, 18)",
161,"(13, 19)","(12, 19)","(14, 19)","(13, 18)",
162,"(14, 19)","(13, 19)","(15, 19)","(14, 18)",
163,"(15, 19)","(14, 19)","(16, 19)","(15, 18)",
164,"(16, 19)","(15, 19)","(17, 19)","(16, 18)",
165,"(17, 19)","(16, 19)",,"(17, 18)",
166,"(19, 19)",,,"(19, 18)","(19, 20)"
167,"(22, 19)",,,"(22, 18)","(22, 20)"
168,"(7, 20)",,,"(7, 19)","(7, 21)"
169,"(10, 20)",,,"(10, 19)","(10, 21)"
170,"(19, 20)",,,"(19, 19)","(19, 21)"
171,"(22, 20)",,,"(22, 19)","(22, 21)"
172,"(7, 21)",,,"(7, 20)","(7, 22)"
173,"(10, 21)",,"(11, 21)","(10, 20)","(10, 22)"
174,"(11, 21)","(10, 21)","(12, 21)",,
175,"(12, 21)","(11, 21)","(13, 21)",,
176,"(13, 21)","(12, 21)","(14, 21)",,
177,"(14, 21)","(13, 21)","(15, 21)",,
178,"(15, 21)","(14, 21)","(16, 21)",,
179,"(16, 21)","(15, 21)","(17, 21)",,
180,"(17, 21)","(16, 21)","(18, 21)",,
181,"(18, 21)","(17, 21)","(19, 21)",,
182,"(19, 21)","(18, 21)",,"(19, 20)","(19, 22)"
183,"(22, 21)",,,"(22, 20)","(22, 22)"
184,"(7, 22)",,,"(7, 21)","(7, 23)"
185,"(10, 22)",,,"(10, 21)","(10, 23)"
186,"(19, 22)",,,"(19, 21)","(19, 23)"
187,"(22, 22)",,,"(22, 21)","(22, 23)"
188,"(7, 23)",,,"(7, 22)","(7, 24)"
189,"(10, 23)",,,"(10, 22)","(10, 24)"
190,"(19, 23)",,,"(19, 22)","(19, 24)"
191,"(22, 23)",,,"(22, 22)","(22, 24)"
192,"(2, 24)",,"(3, 24)",,"(2, 25)"
193,"(3, 24)","(2, 24)","(4, 24)",,
194,"(4, 24)","(3, 24)","(5, 24)",,
195,"(5, 24)","(4, 24)","(6, 24)",,
196,"(6, 24)","(5, 24)","(7, 24)",,
197,"(7, 24)","(6, 24)","(8, 24)","(7, 23)","(7, 25)"
198,"(8, 24)","(7, 24)","(9, 24)",,
199,"(9, 24)","(8, 24)","(10, 24)",,
200,"(10, 24)","(9, 24)","(11, 24)","(10, 23)",
201,"(11, 24)","(10, 24)","(12, 24)",,
202,"(12, 24)","(11, 24)","(13, 24)",,
203,"(13, 24)","(12, 24)",,,"(13, 25)"
204,"(16, 24)",,"(17, 24)",,"(16, 25)"
205,"(17, 24)","(16, 24)","(18, 24)",,
206,"(18, 24)","(17, 24)","(19, 24)",,
207,"(19, 24)","(18, 24)","(20, 24)","(19, 23)",
208,"(20, 24)","(19, 24)","(21, 24)",,
209,"(21, 24)","(20, 24)","(22, 24)",,
210,"(22, 24)","(21, 24)","(23, 24)","(22, 23)","(22, 25)"
211,"(23, 24)","(22, 24)","(24, 24)",,
212,"(24, 24)","(23, 24)","(25, 24)",,
213,"(25, 24)","(24, 24)","(26, 24)",,
214,"(26, 24)","(25, 24)","(27, 24)",,
215,"(27, 24)","(26, 24)",,,"(27, 25)"
216,"(2, 25)",,,"(2, 24)","(2, 26)"
217,"(7, 25)",,,"(7, 24)","(7, 26)"
218,"(13, 25)",,,"(13, 24)","(13, 26)"
219,"(16, 25)",,,"(16, 24)","(16, 26)"
220,"(22, 25)",,,"(22, 24)","(22, 26)"
221,"(27, 25)",,,"(27, 24)","(27, 26)"
222,"(2, 26)",,,"(2, 25)","(2, 27)"
223,"(7, 26)",,,"(7, 25)","(7, 27)"
224,"(13, 26)",,,"(13, 25)","(13, 27)"
225,"(16, 26)",,,"(16, 25)","(16, 27)"
226,"(22, 26)",,,"(22, 25)","(22, 27)"
227,"(27, 26)",,,"(27, 25)","(27, 27)"
228,"(2, 27)",,,"(2, 26)","(2, 28)"
229,"(7, 27)",,"(8, 27)","(7, 26)","(7, 28)"
230,"(8, 27)","(7, 27)","(9, 27)",,
231,"(9, 27)","(8, 27)","(10, 27)",,
232,"(10, 27)","(9, 27)","(11, 27)",,"(10, 28)"
233,"(11, 27)","(10, 27)","(12, 27)",,
234,"(12, 27)","(11, 27)","(13, 27)",,
235,"(13, 27)","(12, 27)","(14, 27)","(13, 26)",
236,"(14, 27)","(13, 27)","(15, 27)",,
237,"(15, 27)","(14, 27)","(16, 27)",,
238,"(16, 27)","(15, 27)","(17, 27)","(16, 26)",
239,"(17, 27)","(16, 27)","(18, 27)",,
240,"(18, 27)","(17, 27)","(19, 27)",,
241,"(19, 27)","(18, 27)","(20, 27)",,"(19, 28)"
242,"(20, 27)","(19, 27)","(21, 27)",,
243,"(21, 27)","(20, 27)","(22, 27)",,
244,"(22, 27)","(21, 27)",,"(22, 26)","(22, 28)"
245,"(27, 27)",,,"(27, 26)","(27, 28)"
246,"(2, 28)",,,"(2, 27)","(2, 29)"
247,"(7, 28)",,,"(7, 27)","(7, 29)"
248,"(10, 28)",,,"(10, 27)","(10, 29)"
249,"(19, 28)",,,"(19, 27)","(19, 29)"
250,"(22, 28)",,,"(22, 27)","(22, 29)"
251,"(27, 28)",,,"(27, 27)","(27, 29)"
252,"(2, 29)",,,"(2, 28)","(2, 30)"
253,"(7, 29)",,,"(7, 28)","(7, 30)"
254,"(10, 29)",,,"(10, 28)","(10, 30)"
255,"(19, 29)",,,"(19, 28)","(19, 30)"
256,"(22, 29)",,,"(22, 28)","(22, 30)"
257,"(27, 29)",,,"(27, 28)","(27, 30)"
258,"(2, 30)",,"(3, 30)","(2, 29)","(2, 31)"
259,"(3, 30)","(2, 30)","(4, 30)",,
260,"(4, 30)","(3, 30)","(5, 30)",,
261,"(5, 30)","(4, 30)","(6, 30)",,
262,"(6, 30)","(5, 30)","(7, 30)",,
263,"(7, 30)","(6, 30)",,"(7, 29)",
264,"(10, 30)",,"(11, 30)","(10, 29)",
265,"(11, 30)","(10, 30)","(12, 30)",,
266,"(12, 30)","(11, 30)","(13, 30)",,
267,"(13, 30)","(12, 30)",,,"(13, 31)"
268,"(16, 30)",,"(17, 30)",,"(16, 31)"
269,"(17, 30)","(16, 30)","(18, 30)",,
270,"(18, 30)","(17, 30)","(19, 30)",,
271,"(19, 30)","(18, 30)",,"(19, 29)",
272,"(22, 30)",,"(23, 30)","(22, 29)",
273,"(23, 30)","(22, 30)","(24, 30)",,
274,"(24, 30)","(23, 30)","(25, 30)",,
275,"(25, 30)","(24, 30)","(26, 30)",,
276,"(26, 30)","(25, 30)","(27, 30)",,
277,"(27, 30)","(26, 30)",,"(27, 29)","(27, 31)"
278,"(2, 31)",,,"(2, 30)","(2, 32)"
279,"(13, 31)",,,"(13, 30)","(13, 32)"
280,"(16, 31)",,,"(16, 30)","(16, 32)"
281,"(27, 31)",,,"(27, 30)","(27, 32)"
282,"(2, 32)",,,"(2, 31)","(2, 33)"
283,"(13, 32)",,,"(13, 31)","(13, 33)"
284,"(16, 32)",,,"(16, 31)","(16, 33)"
285,"(27, 32)",,,"(27, 31)","(27, 33)"
286,"(2, 33)",,"(3, 33)","(2, 32)",
287,"(3, 33)","(2, 33)","(4, 33)",,
288,"(4, 33)","(3, 33)","(5, 33)",,
289,"(5, 33)","(4, 33)","(6, 33)",,
290,"(6, 33)","(5, 33)","(7, 33)",,
291,"(7, 33)","(6, 33)","(8, 33)",,
292,"(8, 33)","(7, 33)","(9, 33)",,
293,"(9, 33)","(8, 33)","(10, 33)",,
294,"(10, 33)","(9, 33)","(11, 33)",,
295,"(11, 33)","(10, 33)","(12, 33)",,
296,"(12, 33)","(11, 33)","(13, 33)",,
297,"(13, 33)","(12, 33)","(14, 33)","(13, 32)",
298,"(14, 33)","(13, 33)","(15, 33)",,
299,"(15, 33)","(14, 33)","(16, 33)",,
300,"(16, 33)","(15, 33)","(17, 33)","(16, 32)",
301,"(17, 33)","(16, 33)","(18, 33)",,
302,"(18, 33)","(17, 33)","(19, 33)",,
303,"(19, 33)","(18, 33)","(20, 33)",,
304,"(20, 33)","(19, 33)","(21, 33)",,
305,"(21, 33)","(20, 33)","(22, 33)",,
306,"(22, 33)","(21, 33)","(23, 33)",,
307,"(23, 33)","(22, 33)","(24, 33)",,
308,"(24, 33)","(23, 33)","(25, 33)",,
309,"(25, 33)","(24, 33)","(26, 33)",,
310,"(26, 33)","(25, 33)","(27, 33)",,
311,"(27, 33)","(26, 33)",,"(27, 32)",
312,"(1, 18)","(28, 18)","(2, 18)",,
313,"(28, 18)","(27, 18)","(1, 18)",,
